gene_id,PAvsVH_symbol,PAvsVH_biotype,PAvsVH_logFC,PAvsVH_PValue,PAvsVH_FDR,TiPAvsVH_logFC,TiPAvsVH_PValue,TiPAvsVH_FDR
ENSG00000164211,STARD4,protein_coding,2.47204637078824,2.69989082361074e-12,2.52777278360555e-09,2.45810733315422,3.0009539064261e-12,1.72901113531781e-09
ENSG00000164300,SERINC5,protein_coding,1.3147328343491,6.65367718065913e-11,2.00173997493914e-08,1.50385316991257,4.44803292820697e-12,2.22105110881802e-09
ENSG00000234684,SDCBP2-AS1,lncRNA,1.52646280871787,6.68088266995008e-11,2.00173997493914e-08,1.62446438938072,4.31262792418456e-12,2.22105110881802e-09
ENSG00000139370,SLC15A4,protein_coding,1.57340524665932,2.62868760669894e-11,1.158168833775e-08,1.66244215158157,8.41334711594443e-12,3.70682175873081e-09
ENSG00000131370,SH3BP5,protein_coding,1.18828801916648,5.4565286201878e-11,1.85769997114575e-08,1.2786911431633,1.50219345024878e-11,6.25079385686854e-09
ENSG00000246067,RAB30-DT,lncRNA,1.50513385577949,4.68237784194596e-11,1.75355050180876e-08,1.5829424674848,1.60058953669884e-11,6.30790895006019e-09
ENSG00000163840,DTX3L,protein_coding,1.72051978773855,2.90282151275845e-10,7.24737771018692e-08,2.0021913362541,1.73491131292691e-11,6.30790895006019e-09
ENSG00000198911,SREBF2,protein_coding,1.31548052818373,2.55926471981425e-11,1.158168833775e-08,1.33186518274265,2.00800220623906e-11,6.83633478396842e-09
ENSG00000134824,FADS2,protein_coding,1.94529054860636,6.10993957189717e-12,4.27611180324108e-09,1.80036292314679,2.23820094019994e-11,6.98505210087398e-09
ENSG00000134324,LPIN1,protein_coding,1.62916483387324,3.66021950135232e-11,1.44289705605942e-08,1.67176950741732,2.18382432823252e-11,6.98505210087398e-09
ENSG00000113013,HSPA9,protein_coding,1.34208549843739,3.69242746975235e-10,8.62287646450316e-08,1.50498140993858,5.6384570813246e-11,1.50513504048224e-08
ENSG00000133639,BTG1,protein_coding,1.36559242832971,3.80279614992677e-10,8.62287646450316e-08,1.52681976841677,5.77985513222928e-11,1.50513504048224e-08
ENSG00000023909,GCLM,protein_coding,1.48614604435776,5.04439610855573e-10,1.02114937440763e-07,1.67406267273569,5.82762565740787e-11,1.50513504048224e-08
ENSG00000159399,HK2,protein_coding,2.48670771300797,8.42588203855923e-10,1.57774641172022e-07,2.78329548180461,6.24344550306688e-11,1.5587802272657e-08
ENSG00000271303,SRXN1,protein_coding,1.73074087297842,2.38263259490892e-11,1.158168833775e-08,1.59683872699645,9.27299108549343e-11,2.10468797667715e-08
ENSG00000087074,PPP1R15A,protein_coding,2.59518764098831,3.9142563390268e-10,8.62287646450316e-08,2.7835770089957,1.19500331648251e-10,2.63252201189824e-08
ENSG00000128590,DNAJB9,protein_coding,2.00278914347647,6.06222128161546e-10,1.1948957210342e-07,2.18099241609077,1.3201151225935e-10,2.82504636235009e-08
ENSG00000103855,CD276,protein_coding,1.09980773645789,1.87212243791129e-09,2.74449162997021e-07,1.27881636470742,1.5931697281139e-10,3.22509223339814e-08
ENSG00000059728,MXD1,protein_coding,1.76800814759181,3.26961850510489e-09,3.60138861812288e-07,1.99540529470635,1.70066381249567e-10,3.35209788305067e-08
ENSG00000123983,ACSL3,protein_coding,1.47115778057015,1.87035812316295e-10,5.18851197870019e-08,1.46834498938839,1.91536502891073e-10,3.58652101663534e-08
ENSG00000175592,FOSL1,protein_coding,2.00314120590787,4.63178642003109e-09,4.6667262981476e-07,2.36632613410482,2.07764798260567e-10,3.79550814383328e-08
ENSG00000119917,IFIT3,protein_coding,3.45327840513635,1.27096440376066e-09,1.98591483740179e-07,3.82500291946388,2.82442175531519e-10,4.50104658453421e-08
ENSG00000169359,SLC33A1,protein_coding,1.10963355123818,5.35618214700237e-09,4.77592908107711e-07,1.30333962880661,2.81604067283864e-10,4.50104658453421e-08
ENSG00000262001,DLGAP1-AS2,lncRNA,1.89131217875312,1.06501573649381e-09,1.87975736682695e-07,2.00630325420996,3.00553549826689e-10,4.5022921764038e-08
ENSG00000105939,ZC3HAV1,protein_coding,1.60669792688346,4.67295690735741e-09,4.6667262981476e-07,1.85356052881243,2.98077668101558e-10,4.5022921764038e-08
ENSG00000185880,TRIM69,protein_coding,1.2213202840279,1.22378414212055e-09,1.98591483740179e-07,1.31296494229717,3.32437622382504e-10,4.77944113214931e-08
ENSG00000138646,HERC5,protein_coding,3.44117172186712,2.97449798449569e-09,3.42753690828811e-07,3.75002252939607,3.38198104144077e-10,4.77944113214931e-08
ENSG00000124201,ZNFX1,protein_coding,1.34395854552125,5.35211923762577e-09,4.77592908107711e-07,1.56795824770678,3.49782325984819e-10,4.85161041041906e-08
ENSG00000070961,ATP2B1,protein_coding,1.27695791704305,4.93234326348568e-09,4.76946304947486e-07,1.47080036561037,3.76926345986317e-10,5.041389877567e-08
ENSG00000166889,PATL1,protein_coding,1.30497410926829,9.91610170215266e-09,7.98619373646489e-07,1.54566309751309,3.86009412909227e-10,5.07229912752651e-08
ENSG00000188313,PLSCR1,protein_coding,2.27298598464609,5.17424392876305e-09,4.77592908107711e-07,2.64623079394704,4.34161012491709e-10,5.303128019293e-08
ENSG00000057252,SOAT1,protein_coding,1.5369795847652,7.88575403186572e-09,6.62590045979579e-07,1.80714760526541,4.38977219220515e-10,5.303128019293e-08
ENSG00000067082,KLF6,protein_coding,1.65767065290941,1.03819374212356e-08,8.18533803000576e-07,1.97382301503049,4.27793871773069e-10,5.303128019293e-08
ENSG00000116954,RRAGC,protein_coding,1.07628216436656,2.88538790436187e-09,3.40374744385225e-07,1.19759249108615,4.50860127592976e-10,5.36022596138316e-08
ENSG00000134321,RSAD2,protein_coding,4.61513311131397,2.87511951730632e-09,3.40374744385225e-07,5.12144662098015,4.60661332724836e-10,5.39117715954534e-08
ENSG00000138166,DUSP5,protein_coding,2.4266765951295,1.12114235323463e-08,8.65706827394578e-07,2.83743980567377,5.39067866724929e-10,6.06734771555457e-08
ENSG00000123094,RASSF8,protein_coding,1.02817750526479,1.09522726064122e-07,4.30542645277265e-06,1.40573895969539,5.42740049321971e-10,6.06734771555457e-08
ENSG00000146457,WTAP,protein_coding,1.3275018063248,2.83697242142793e-09,3.40374744385225e-07,1.46509711090113,5.63329952538317e-10,6.2049137419294e-08
ENSG00000150991,UBC,protein_coding,1.20787307112291,2.7206365220538e-09,3.40374744385225e-07,1.32364948269323,6.57325732170727e-10,7.03338533422678e-08
ENSG00000121060,TRIM25,protein_coding,1.85225115555285,7.26922222890402e-09,6.33098540633617e-07,2.12071317622338,6.56401061888564e-10,7.03338533422678e-08
ENSG00000119922,IFIT2,protein_coding,4.74189343472513,2.80170664364393e-09,3.40374744385225e-07,5.17753650014626,7.66841112580751e-10,7.867999908534e-08
ENSG00000023445,BIRC3,protein_coding,2.7372441453277,3.06857643542574e-09,3.48236931838467e-07,2.888754540426,8.47746022998782e-10,8.46615694968117e-08
ENSG00000104635,SLC39A14,protein_coding,1.31657902264521,4.40996044650065e-09,4.52474023894382e-07,1.43467714038003,1.01276358035215e-09,9.72512720107386e-08
ENSG00000059804,SLC2A3,protein_coding,1.71491091072551,2.63192715814381e-09,3.39881627836157e-07,1.79896220222453,1.10725642616067e-09,1.03666882899293e-07
ENSG00000165029,ABCA1,protein_coding,1.22526974619072,5.00471214613768e-09,4.76946304947486e-07,1.33659545310606,1.1580543122043e-09,1.07084281461854e-07
ENSG00000177150,FAM210A,protein_coding,1.33600740396008,2.31836102684722e-08,1.48414735821245e-06,1.51597272781518,1.28461000363707e-09,1.15293683624901e-07
ENSG00000112096,SOD2,protein_coding,3.22772242159855,9.15924307879345e-10,1.67323733317471e-07,3.140419699445,1.36890705434205e-09,1.18002699878984e-07
ENSG00000143479,DYRK3,protein_coding,1.73269081414088,6.16800426084522e-08,2.98053883314392e-06,2.09537866943275,1.37778799060444e-09,1.18002699878984e-07
ENSG00000186480,INSIG1,protein_coding,2.96457993291268,2.59072226847363e-10,6.69121027271293e-08,2.68375221913815,1.47311930892988e-09,1.22596262487609e-07
ENSG00000179918,SEPHS2,protein_coding,1.02989891669378,1.27268240581156e-09,1.98591483740179e-07,1.01153983870162,1.70445583490324e-09,1.37272840897046e-07
ENSG00000139289,PHLDA1,protein_coding,1.4202364130666,1.75234332580794e-08,1.19318650093649e-06,1.6505108852998,1.68234698291844e-09,1.37272840897046e-07
ENSG00000173193,PARP14,protein_coding,2.11432652837689,2.70092319644757e-08,1.65818973290101e-06,2.49054699098925,1.69828789520201e-09,1.37272840897046e-07
ENSG00000162490,DRAXIN,protein_coding,1.34616315807131,3.17806625525307e-08,1.88918382951155e-06,1.56492188327806,1.91666288360813e-09,1.5111373682342e-07
ENSG00000140941,MAP1LC3B,protein_coding,1.08137509341273,1.03788294629143e-08,8.18533803000576e-07,1.20123504019324,1.99213971886908e-09,1.55428400982598e-07
ENSG00000134070,IRAK2,protein_coding,2.12767040754792,1.9987955172491e-09,2.77240341188811e-07,2.11414337359975,2.22863475681364e-09,1.68610851803376e-07
ENSG00000157601,MX1,protein_coding,2.06567896071805,2.53887923169364e-08,1.61154283435469e-06,2.42997537957816,2.2933101828747e-09,1.70068250195361e-07
ENSG00000163565,IFI16,protein_coding,1.25161222324206,2.93903520241452e-08,1.77527206984554e-06,1.47106057375375,2.4033327170147e-09,1.74766621848933e-07
ENSG00000135473,PAN2,protein_coding,1.75514046915149,2.5941626217895e-07,7.96322870377186e-06,2.37300591366122,2.5832831121636e-09,1.82535759529296e-07
ENSG00000123609,NMI,protein_coding,1.60512435655225,3.43964124902122e-08,1.99712503528441e-06,1.83840638510484,3.12123811075318e-09,2.14477738069186e-07
ENSG00000166401,SERPINB8,protein_coding,1.1576416465918,3.20327358843275e-07,8.9859622387121e-06,1.49482908830922,3.20303609981698e-09,2.15809968776115e-07
ENSG00000147416,ATP6V1B2,protein_coding,1.08971889494564,5.91751629554275e-09,5.21437612395473e-07,1.12761913258721,3.38825341329751e-09,2.1778975001719e-07
ENSG00000059378,PARP12,protein_coding,1.81475906831114,2.58671926797177e-08,1.62811153925282e-06,2.0157647239702,3.39796119737653e-09,2.1778975001719e-07
ENSG00000168394,TAP1,protein_coding,2.34728095843417,2.68625663728857e-08,1.65818973290101e-06,2.69190013021575,3.51257955774036e-09,2.1778975001719e-07
ENSG00000090339,ICAM1,protein_coding,2.90683006105175,2.88373998162897e-08,1.75603353352853e-06,3.32578890359571,3.45611180499197e-09,2.1778975001719e-07
ENSG00000134326,CMPK2,protein_coding,3.40226754922078,3.52497591744774e-08,2.00307140715471e-06,3.80694478688253,3.51836578799466e-09,2.1778975001719e-07
ENSG00000111331,OAS3,protein_coding,2.29897112745569,6.30557824813645e-08,3.0274859665732e-06,2.70109312309577,3.4166991171111e-09,2.1778975001719e-07
ENSG00000112972,HMGCS1,protein_coding,1.59315930182734,1.62572635330102e-09,2.43533807724493e-07,1.51672621281486,3.66508413154345e-09,2.22107259068507e-07
ENSG00000175197,DDIT3,protein_coding,2.67358494334241,8.88938929036569e-09,7.31665118514715e-07,2.82618668634961,3.7545907559825e-09,2.24975078098471e-07
ENSG00000167772,ANGPTL4,protein_coding,4.625363745948,5.03054180118176e-09,4.76946304947486e-07,4.65400614979869,4.48749559511351e-09,2.54289320577125e-07
ENSG00000100219,XBP1,protein_coding,1.61602326942981,1.2026747695607e-08,9.0990242666764e-07,1.71897276561189,4.54408474217974e-09,2.54289320577125e-07
ENSG00000184979,USP18,protein_coding,2.33441971953974,4.0104118451288e-08,2.18073691737104e-06,2.60438061457638,4.54936835211412e-09,2.54289320577125e-07
ENSG00000163814,CDCP1,protein_coding,2.0517512872261,2.00430977906752e-07,6.5270783674851e-06,2.48636695258065,4.4256522977471e-09,2.54289320577125e-07
ENSG00000249992,TMEM158,protein_coding,1.66709225453493,1.12538817629198e-06,2.36774085405251e-05,2.20869051736026,5.62208678115175e-09,3.0294553950235e-07
ENSG00000198900,TOP1,protein_coding,1.33882949751769,1.98488362181231e-07,6.5270783674851e-06,1.68056881706619,5.68313911363717e-09,3.04047942579588e-07
ENSG00000140853,NLRC5,protein_coding,1.35006276377888,4.03829808999269e-07,1.06343392654302e-05,1.70743749996979,5.89531926645278e-09,3.10957333138953e-07
ENSG00000148572,NRBF2,protein_coding,1.03509008223982,9.22792685610816e-09,7.51273610350544e-07,1.05810842671507,6.23467401297513e-09,3.26440997171355e-07
ENSG00000163644,PPM1K,protein_coding,1.51681645993629,3.58359904617798e-08,2.00307140715471e-06,1.65694691227322,6.32412241518148e-09,3.26673633722133e-07
ENSG00000101347,SAMHD1,protein_coding,2.08797144005385,4.38181665213358e-08,2.34427190889146e-06,2.32884394653584,6.45477005885718e-09,3.28885902998914e-07
ENSG00000148339,SLC25A25,protein_coding,1.11584885035725,1.74552442659622e-05,0.000196305975303389,1.42623584437456,6.43069381454526e-09,3.28885902998914e-07
ENSG00000138035,PNPT1,protein_coding,1.70374852353498,6.51555085792223e-08,3.08594520188365e-06,1.92298592631451,6.62112797087085e-09,3.35082760147451e-07
ENSG00000069956,MAPK6,protein_coding,1.1216886119952,3.28808428528381e-08,1.93919301549415e-06,1.23075656425743,6.69802985241008e-09,3.36699621439943e-07
ENSG00000165891,E2F7,protein_coding,2.01927771196592,8.50920877075121e-08,3.68404472213449e-06,2.28816233097801,6.87962920657606e-09,3.41247832829501e-07
ENSG00000130066,SAT1,protein_coding,1.47521659004358,4.01606037781887e-08,2.18073691737104e-06,1.65232613859094,7.51664769905153e-09,3.61224925304946e-07
ENSG00000124226,RNF114,protein_coding,1.14034827123905,8.45521285791912e-08,3.68195025033803e-06,1.31122792085388,9.05733827792124e-09,4.13655266473354e-07
ENSG00000109814,UGDH,protein_coding,1.14440843575061,1.35344712353606e-06,2.71777988077348e-05,1.57251962851555,9.44313259776269e-09,4.28660988831773e-07
ENSG00000120334,CENPL,protein_coding,1.64482275272421,2.725087090832e-07,8.16436092413266e-06,1.95776884731127,9.50165469078321e-09,4.28719238758833e-07
ENSG00000185947,ZNF267,protein_coding,2.09274197420881,1.01668679984201e-07,4.15733597287411e-06,2.3428673570519,9.6576899487373e-09,4.30572010214538e-07
ENSG00000164949,GEM,protein_coding,2.09955156773882,1.10366071953585e-07,4.30542645277265e-06,2.38271172147289,9.62705937257754e-09,4.30572010214538e-07
ENSG00000138642,HERC6,protein_coding,2.09275926249066,2.93919677894957e-07,8.5327844474156e-06,2.53419137433099,9.93149401615923e-09,4.37569942241368e-07
ENSG00000115520,COQ10B,protein_coding,1.00726238561242,1.52640363612457e-07,5.34241272643598e-06,1.18378471429965,1.03300397702451e-08,4.49837196971718e-07
ENSG00000052795,FNIP2,protein_coding,2.21618466574897,1.38164937699303e-07,4.99239499133189e-06,2.51584196523004,1.05223418697238e-08,4.55562662452205e-07
ENSG00000117500,TMED5,protein_coding,1.00276614062486,2.29469393986508e-07,7.28273627524976e-06,1.20989423427433,1.07906640940346e-08,4.58970069497438e-07
ENSG00000154451,GBP5,protein_coding,3.93633634868822,3.12466699683384e-07,8.89906224003584e-06,4.55786262672122,1.07952618335484e-08,4.58970069497438e-07
ENSG00000113070,HBEGF,protein_coding,1.14950993811634,2.12909724795773e-06,3.83339865077005e-05,1.59464875752115,1.11343771287997e-08,4.64714790503893e-07
ENSG00000132109,TRIM21,protein_coding,1.42235741642078,9.23604096854501e-08,3.90835857934475e-06,1.60559849372093,1.12985916475221e-08,4.67549455469285e-07
ENSG00000135899,SP110,protein_coding,2.21470588105742,1.25285625443946e-07,4.7038042075232e-06,2.54694837682931,1.13611409191288e-08,4.67554645517994e-07
ENSG00000115267,IFIH1,protein_coding,2.48542699317709,9.88770623639444e-08,4.11938829583549e-06,2.78173174419122,1.1886977555142e-08,4.83877510260942e-07
ENSG00000100906,NFKBIA,protein_coding,2.27921900562358,1.18458452038885e-08,9.05361026297191e-07,2.26546256310846,1.29653709594352e-08,5.22100153151448e-07
ENSG00000137628,DDX60,protein_coding,1.68810958167461,3.62722793932707e-07,9.91800082189944e-06,2.00507350236668,1.31399495913203e-08,5.26300654753952e-07
ENSG00000151136,BTBD11,protein_coding,1.52228550610084,1.24776804917666e-06,2.55349253779594e-05,1.95273783996757,1.32449370098857e-08,5.27683926617254e-07
ENSG00000155304,HSPA13,protein_coding,1.2307784937417,1.11531349314067e-07,4.32834096560809e-06,1.40392945437609,1.34818738676865e-08,5.34281668089797e-07
ENSG00000196218,RYR1,protein_coding,2.65221814689265,2.78029486053826e-07,8.23099150412314e-06,3.09832834775472,1.4550568589002e-08,5.70595595453533e-07
ENSG00000245556,SCAMP1-AS1,lncRNA,1.29200342578861,1.55987620743377e-07,5.40901518225875e-06,1.37304246070733,1.47115880949203e-08,5.73679004894482e-07
ENSG00000104419,NDRG1,protein_coding,3.16231625243812,8.41143837188821e-08,3.68195025033803e-06,3.52334821404893,1.50409645337284e-08,5.80705280193948e-07
ENSG00000118785,SPP1,protein_coding,1.9392969242685,5.98049772605964e-08,2.94696894527544e-06,2.13391197991194,1.51554369789591e-08,5.82124220371302e-07
ENSG00000161813,LARP4,protein_coding,1.02578995639347,1.31184297648293e-07,4.81652151659662e-06,1.15802053591613,1.54809668006186e-08,5.91594088452209e-07
ENSG00000221963,APOL6,protein_coding,2.38802063872676,2.63206869892357e-07,8.04267737971162e-06,2.73434656658712,1.56204303899617e-08,5.93893520917834e-07
ENSG00000168209,DDIT4,protein_coding,1.84141500285773,1.70457195735396e-08,1.18831700255437e-06,1.84661683718955,1.62066740877967e-08,6.11149741014352e-07
ENSG00000072571,HMMR,protein_coding,2.22681958620568,2.22814081531102e-07,7.10160625816149e-06,2.53279210032856,1.68020175159533e-08,6.29235555972452e-07
ENSG00000185745,IFIT1,protein_coding,2.00006421049228,7.59562931218718e-08,3.42718455110132e-06,2.20055579485104,1.6973926967305e-08,6.29437960631692e-07
ENSG00000052802,MSMO1,protein_coding,1.35218279350598,2.26908152155808e-09,3.03489653508394e-07,1.19254731558647,1.73343194857374e-08,6.3957661550824e-07
ENSG00000113742,CPEB4,protein_coding,1.21042672453187,2.58656260708318e-07,7.96322870377186e-06,1.40414883381364,1.82074958059619e-08,6.58812287858235e-07
ENSG00000001084,GCLC,protein_coding,2.09730208096586,1.41890644993123e-08,1.02099558203498e-06,2.05464569208871,1.96766613750362e-08,7.01800922376291e-07
ENSG00000141682,PMAIP1,protein_coding,3.09628318485688,1.04580509176407e-07,4.21133340715746e-06,3.44812723944122,2.0802005886074e-08,7.33803787343346e-07
ENSG00000095794,CREM,protein_coding,1.19048635179076,3.90737315233814e-07,1.04522231825045e-05,1.43016087549244,2.08678513623675e-08,7.33803787343346e-07
ENSG00000055332,EIF2AK2,protein_coding,1.02963078414867,1.70806571773323e-06,3.26362556781171e-05,1.35709531111198,2.12516450904484e-08,7.40348008034689e-07
ENSG00000140105,WARS1,protein_coding,2.64694565525525,1.18232857740596e-07,4.54135438193366e-06,2.99823630307528,2.25488717103563e-08,7.6768658686622e-07
ENSG00000172936,MYD88,protein_coding,1.05213167011296,3.92678886483773e-07,1.04667788603682e-05,1.25818837518548,2.33831149636003e-08,7.88899156711544e-07
ENSG00000156587,UBE2L6,protein_coding,1.64429237247316,4.04644417976985e-07,1.06343392654302e-05,1.98770519386748,2.34879188179806e-08,7.88899156711544e-07
ENSG00000088448,ANKRD10,protein_coding,1.21498479376515,4.74528412969854e-07,1.20891762351844e-05,1.48407072219305,2.38389390549527e-08,7.97114524649982e-07
ENSG00000173821,RNF213,protein_coding,1.12534751817036,4.80452732452892e-07,1.21986134443124e-05,1.34813398293711,2.5403824817214e-08,8.38642258292629e-07
ENSG00000102554,KLF5,protein_coding,1.01151495263307,1.83617021074317e-05,0.000204656471405749,1.50731427635432,2.74878843241439e-08,8.99057875929424e-07
ENSG00000089127,OAS1,protein_coding,2.4730249886264,2.46518962102351e-07,7.66152293006893e-06,2.78758414731854,2.78271222432148e-08,9.0619628522469e-07
ENSG00000006451,RALA,protein_coding,1.13817476987348,6.06898042312647e-07,1.46634397965217e-05,1.38146232182068,2.79613303712929e-08,9.06624954463134e-07
ENSG00000213516,RBMXL1,protein_coding,1.28230285032426,2.76066064706108e-07,8.2177723222992e-06,1.41869634055423,3.1411634026348e-08,9.92713666064754e-07
ENSG00000171310,CHST11,protein_coding,1.49247956707666,6.64771856732102e-08,3.11196325432715e-06,1.55032411332778,3.20398670526346e-08,1.00409457834407e-06
ENSG00000107201,DDX58,protein_coding,2.3843099975915,1.99959459489003e-07,6.5270783674851e-06,2.67628579102103,3.33944809233832e-08,1.02931959718576e-06
ENSG00000148841,ITPRIP,protein_coding,1.00714367284205,1.38640608571032e-07,4.99239499133189e-06,1.08788475360336,3.63444595225823e-08,1.11341336527222e-06
ENSG00000132530,XAF1,protein_coding,2.40922431551298,3.90529528422223e-06,6.15803403764726e-05,3.03088952430049,3.90815989039594e-08,1.1693239450528e-06
ENSG00000143751,SDE2,protein_coding,1.14153040164236,5.01497234733055e-07,1.26471861553892e-05,1.3186133753985,3.96337704630523e-08,1.17334759196941e-06
ENSG00000163162,RNF149,protein_coding,1.07763490665493,1.10170928709878e-06,2.3244514254563e-05,1.32514198836723,3.95197528777338e-08,1.17334759196941e-06
ENSG00000128335,APOL2,protein_coding,1.84541233556118,9.21038701472416e-07,2.02304395132798e-05,2.25140827762154,4.29243316289124e-08,1.25587204648654e-06
ENSG00000155380,SLC16A1,protein_coding,1.13848254755606,2.8135764518331e-07,8.29012724223704e-06,1.28432825755309,4.39688964733991e-08,1.28142815013914e-06
ENSG00000117228,GBP1,protein_coding,2.32727860486921,3.87684096060217e-07,1.04077199981757e-05,2.69577523376807,4.52280245371242e-08,1.29959922507947e-06
ENSG00000006210,CX3CL1,protein_coding,2.45524832458351,2.98657200525825e-06,4.98205441411676e-05,3.02593198522879,4.54599461910307e-08,1.29959922507947e-06
ENSG00000044574,HSPA5,protein_coding,1.30802492867449,5.22317975746366e-08,2.64335245833803e-06,1.31792714194308,4.67156638580139e-08,1.32037857470386e-06
ENSG00000279267,,TEC,1.15058899343402,1.20972336590757e-06,2.50197108589644e-05,1.26671945318519,4.65772328978438e-08,1.32037857470386e-06
ENSG00000181381,DDX60L,protein_coding,1.54226146910465,1.47785605453371e-06,2.91293206538355e-05,1.85460196815945,4.98163769738526e-08,1.3768437768788e-06
ENSG00000185022,MAFF,protein_coding,1.94239629037196,6.1599026934713e-08,2.98053883314392e-06,1.9588863632402,5.0723738869438e-08,1.39676766225033e-06
ENSG00000113615,SEC24A,protein_coding,1.11540665449645,5.25124860878622e-06,7.63725283103083e-05,1.46833235415035,5.22680234155979e-08,1.42127399853743e-06
ENSG00000067066,SP100,protein_coding,1.57206486008154,5.74989857713938e-07,1.39374564216097e-05,1.84074741244715,5.35473894822075e-08,1.43752669255102e-06
ENSG00000164171,ITGA2,protein_coding,2.11318904253748,6.31499463311375e-07,1.51116005757259e-05,2.43964283443361,5.51860802459153e-08,1.47097416740892e-06
ENSG00000108582,CPD,protein_coding,1.15229729349529,1.27215782602492e-06,2.58925601003442e-05,1.41885090684388,5.65688655198641e-08,1.5024851161127e-06
ENSG00000100644,HIF1A,protein_coding,1.2416519012361,9.0729110578506e-07,1.99870893597944e-05,1.50623204576967,5.85724730769454e-08,1.54474585685324e-06
ENSG00000151014,NOCT,protein_coding,1.80836787161369,1.88843328545447e-05,0.000209489936681225,2.47407223725061,5.87910795175023e-08,1.54507082661787e-06
ENSG00000113263,ITK,protein_coding,3.66933256086935,4.01932541857639e-06,6.28491594679272e-05,4.40889347486582,6.06916110814157e-08,1.58390302090524e-06
ENSG00000196116,TDRD7,protein_coding,1.39309053902211,9.90938853413335e-07,2.16388688398422e-05,1.62445267239492,6.18178006250265e-08,1.59111796110463e-06
ENSG00000169245,CXCL10,protein_coding,5.66679387967874,2.44080723785761e-07,7.63944212128333e-06,6.19956958120843,6.56857138118086e-08,1.6696671084657e-06
ENSG00000121039,RDH10,protein_coding,1.51411180020596,1.07124831088006e-06,2.28594012777541e-05,1.79292947997041,6.69940040166257e-08,1.69521989893421e-06
ENSG00000120063,GNA13,protein_coding,1.00032142208317,1.50376181444274e-07,5.33799809960954e-06,1.0433622795591,7.27489373408377e-08,1.80427000226117e-06
ENSG00000145780,FEM1C,protein_coding,1.23370600965157,4.79683656329574e-06,7.18566117181702e-05,1.5720171617744,7.54456497368834e-08,1.85884183068835e-06
ENSG00000149485,FADS1,protein_coding,1.55258026839059,7.96169614661711e-09,6.62590045979579e-07,1.351599605161,7.79732591761006e-08,1.90856114780717e-06
ENSG00000162433,AK4,protein_coding,2.18741144414897,8.08441897575879e-07,1.82690194920298e-05,2.46286464811773,7.85185093431709e-08,1.91564701947997e-06
ENSG00000280987,,protein_coding,1.52831677656578,2.82240647098858e-07,8.29012724223704e-06,1.64016615608664,7.89824607466135e-08,1.92070984088356e-06
ENSG00000289316,,lncRNA,2.77413281258902,1.70947105181502e-07,5.81997189913385e-06,2.87741598374577,8.37401966104759e-08,2.0038788262379e-06
ENSG00000155287,SLC25A28,protein_coding,1.06897338665909,3.61930770455174e-06,5.80484254969861e-05,1.36794936251966,8.58778602766724e-08,2.04492570644564e-06
ENSG00000137965,IFI44,protein_coding,1.18379728199119,2.69642311520949e-06,4.55896368688918e-05,1.49932007941855,8.74789443626817e-08,2.07347244707749e-06
ENSG00000248323,LUCAT1,lncRNA,2.86516745129029,1.95399707445927e-07,6.47585756092918e-06,2.97100877669863,8.95767585403593e-08,2.11649817497568e-06
ENSG00000115415,STAT1,protein_coding,1.15158414624539,2.27667471792844e-06,4.03346374391882e-05,1.44917274598735,9.41409534275825e-08,2.21039417295484e-06
ENSG00000156502,SUPV3L1,protein_coding,1.20268404483869,4.92080326240796e-07,1.24516271741336e-05,1.32193254211146,1.01990201289619e-07,2.35773644339273e-06
